nom,numero,tag1,tag2,tag3,pieces,minifigs,Value used,Value new,Prix initial2
Adventure Camper,3184-1,Friends,Great Outdoors,2012,309,2,,~$17.40,"Pieces,309,Minifigs,2, (1 unique to this set),Minifigs,frnd017, ,frnd021, ,RRP,$34.99 | ,More,PPP,11.3c,Packaging,Box,Instructions,Yes,Additional images,6,Launch/exit,1 Jun 2012 - 31 Dec 2013 (1y 6m 30d),Value new,~$36.88,Value used,~$17.40"
Red Five X-wing Starfighter,10240-1,Star Wars,Ultimate Collector Series,2013,1559,1,,~$174.33,"Pieces,1559,Minifigs,1, ,Minifigs,sw0217, ,RRP,$199.99, €199.99 | ,More,PPP,12.8c, 12.8c,Packaging,Box,Instructions,Yes,Additional images,21,Launch/exit,1 Jun 2013 - 31 Dec 2015 (2y 6m 29d),Value new,~$292.39,Value used,~$174.33,Notes,Unveiled at LEGOWorld Copenhagen in February 2013."
Summer Riding Camp,3185-1,Friends,Horseback Riding,2012,1112,4,,~$54.48,"Pieces,1112,Minifigs,4, (3 unique to this set),Minifigs,frnd011, ,frnd025, ,frnd026, ,frnd028, ,RRP,$99.99 | ,More,PPP,9.0c,Packaging,Box,Instructions,Yes,Additional images,9,Launch/exit,1 Jun 2012 - 31 Jul 2014 (2y 1m 29d),Value new,~$182.47,Value used,~$54.48"
Horse Stable,10500-1,Duplo,2013,10500-1,44,2,,,"Pieces,44,Minifigs,2, ,Minifigs,47205pb029, ,47394pb173, ,RRP,$29.99, €29.99 | ,More,PPP,68.2c, 68.2c,Packaging,Box,Instructions,Yes,Additional images,4,Launch/exit,1 Jan 2013 - 31 Dec 2014 (1y 11m 28d),Value new,~$27.40"
Emma's Horse Trailer,3186-1,Friends,Horseback Riding,2012,218,1,,~$13.48,"Pieces,218,Minifigs,1, (1 unique to this set),Minifigs,frnd027, ,RRP,$24.99 | ,More,PPP,11.5c,Packaging,Box,Instructions,Yes,Additional images,6,Launch/exit,1 Jun 2012 - 31 Dec 2014 (2y 6m 29d),Value new,~$63.00,Value used,~$13.48"
Zoo Friends,10501-1,Duplo,Zoo,2013,5,,,,"Pieces,5,RRP,$4.99 | ,More,PPP,99.8c,Packaging,Box,Additional images,3,Value new,~$8.22,Value used,~$4.26"
Butterfly Beauty Shop,3187-1,Friends,Heartlake City,2012,221,2,66434-1,~$13.31,"Pieces,221,Minifigs,2, (1 unique to this set),Minifigs,frnd011, ,frnd012, ,RRP,$24.99 | ,More,PPP,11.3c,Packaging,Box,Instructions,Yes,Additional images,6,Launch/exit,1 Jan 2012 - 31 Dec 2012 (11m 30d),Value new,~$62.52,Value used,~$13.31,Related sets,Included in ,66434-1, "
Zoo Bus,10502-1,Duplo,Zoo,2013,19,2,,,"Pieces,19,Minifigs,2, ,Minifigs,47394pb158, ,47394pb159, ,RRP,$29.99 | ,More,PPP,157.8c,Packaging,Box,Additional images,5,Value new,~$42.27,Value used,~$38.75"
Heartlake Vet,3188-1,Friends,Heartlake City,2012,343,2,,~$26.12,"Pieces,343,Minifigs,2, (1 unique to this set),Minifigs,frnd015, ,frnd016, ,RRP,$44.99 | ,More,PPP,13.1c,Packaging,Box,Instructions,Yes,Additional images,6,Launch/exit,1 Jan 2012 - 31 Dec 2013 (1y 11m 29d),Value new,~$97.94,Value used,~$26.12"
Circus Show,10503-1,Duplo,Circus,2013,25,1,,,"Pieces,25,Minifigs,1, ,Minifigs,47394pb153, ,RRP,$14.99 | ,More,PPP,60.0c,Packaging,Box,Additional images,4,Value new,~$12.00"
Heartlake Stables,3189-1,Friends,Horseback Riding,2012,401,2,,~$31.75,"Pieces,401,Minifigs,2, (1 unique to this set),Minifigs,frnd016, ,frnd020, ,RRP,$49.99 | ,More,PPP,12.5c,Packaging,Box,Instructions,Yes,Additional images,7,Launch/exit,1 Jun 2012 - 31 Dec 2013 (1y 6m 30d),Value new,~$109.26,Value used,~$31.75"
My First Circus,10504-1,Duplo,Circus,2013,62,3,,~$37.00,"Pieces,62,Minifigs,3, (1 unique to this set),Minifigs,47394pb151, ,47394pb152, ,47394pb153, ,RRP,$34.99 | ,More,PPP,56.4c,Packaging,Box,Instructions,Yes,Additional images,5,Launch/exit,1 Jan 2013 - 31 Dec 2014 (1y 11m 28d),Value new,~$89.89,Value used,~$37.00"
Olivia's House,3315-1,Friends,Houses,2012,695,3,,~$36.45,"Pieces,695,Minifigs,3, (2 unique to this set),Minifigs,frnd017, ,frnd018, ,frnd019, ,RRP,$74.99 | ,More,PPP,10.8c,Packaging,Box,Instructions,Yes,Additional images,9,Launch/exit,1 Jan 2012 - 31 Dec 2014 (2y 11m 29d),Value new,~$126.03,Value used,~$36.45"
Play House,10505-1,Duplo,2013,10505-1,83,3,,~$74.15,"Pieces,83,Minifigs,3, ,Minifigs,47205pb028, ,47394pb159, ,47394pb197, ,RRP,$59.99, €59.99 | ,More,PPP,72.3c, 72.3c,Packaging,Box,Instructions,Yes,Additional images,4,Launch/exit,1 Jan 2013 - 30 Sep 2014 (1y 8m 28d),Value new,~$80.00,Value used,~$74.15"
LEGO Friends Advent Calendar,3316-1,Friends,Seasonal,2012,212,2,,~$18.76,"Pieces,212,Minifigs,2, (2 unique to this set),Minifigs,frnd029, ,frnd030, ,RRP,$34.99 | ,More,PPP,16.5c,Packaging,Box,Instructions,Yes,Additional images,9,Launch/exit,1 Sep 2012 - 31 Dec 2012 (3m 29d),Value new,~$30.72,Value used,~$18.76"
Train Accessory Set,10506-1,Duplo,Trains,2013,24,,66494-1,~$16.37,"Pieces,24,RRP,$19.99, €19.99 | ,More,PPP,83.3c, 83.3c,Packaging,Box,Instructions,Yes,Additional images,4,Launch/exit,1 Jun 2013 - 30 Sep 2014 (1y 3m 29d),Value new,~$62.57,Value used,~$16.37,Related sets,Included in ,66494-1, ,66524-1, "
The Flying Dutchman,3817-1,SpongeBob SquarePants,2012,3817-1,241,3,~$61.25,~$92.47,"Pieces,241,Minifigs,3, (3 unique to this set),Minifigs,bob032, ,bob033, ,bob034, ,RRP,$24.99 | ,More,PPP,10.4c,Packaging,Box,Instructions,Yes,Additional images,6,Designer,Adam Grabowski, ,Launch/exit,1 Jan 2012 - 31 Dec 2013 (1y 11m 29d),Value new,~$92.47,Value used,~$61.25"
My First Train Set,10507-1,Duplo,Trains,2013,52,2,66494-1,~$31.88,"Pieces,52,Minifigs,2, ,Minifigs,47205pb028, ,47394pb165, ,RRP,$44.99, €49.99 | ,More,PPP,86.5c, 96.1c,Packaging,Box,Instructions,Yes,Additional images,7,Launch/exit,1 Jun 2013 - 31 Jan 2014 (8m),Value new,~$86.59,Value used,~$31.88,Related sets,Included in ,66494-1, "
